,Unnamed: 0.58,url,title,type,ville,person_capacity,latitude,longitude,nb_bedrooms,nb_beds,nb_bathrooms,host_name,lave-linge,sèche-linge,lave-vaisselle,balcon,terrasse,parking,ascenseur,climatisation,piscine,baignoire,lits_doubles,lits_simples,canapes_convertibles,lits_superposes,surface,nb_rooms,type_de_bien,quartier,meuble,nombre_d'etages,numero_d'etage,cave,Unnamed: 0.57,Unnamed: 0.56,Unnamed: 0.55,Unnamed: 0.54,Unnamed: 0.53,Unnamed: 0.52,Unnamed: 0.51,Unnamed: 0.50,Unnamed: 0.49,Unnamed: 0.48,Unnamed: 0.47,Unnamed: 0.46,Unnamed: 0.45,Unnamed: 0.44,Unnamed: 0.43,Unnamed: 0.42,Unnamed: 0.41,Unnamed: 0.40,Unnamed: 0.39,Unnamed: 0.38,Unnamed: 0.37,Unnamed: 0.36,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,cost
14,14,https://www.airbnb.fr/rooms/51707440,"Charmant et lumineux appartement, Neudorf - Appartements en résidence à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.56979,7.75372,1.0,1.0,1.0,Rabloh,oui,non,oui,oui,non,oui,oui,non,non,non,1,0,0,0,,,appartement,,,,1.0,,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.66165413533834
16,16,https://www.airbnb.fr/rooms/36192771,"Cathédrale cœur du centre historique - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.58219,7.74794,1.0,1.0,1.0,Marco,oui,oui,non,non,non,non,non,non,non,non,1,0,0,0,,,appartement,centre historique,,,,,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45864661654136
18,18,https://www.airbnb.fr/rooms/19925782,"CATHEDRALE   2 pièces  lumineux centre historique - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58415,7.74823,1.0,1.0,1.0,Mallory,non,non,oui,non,non,oui,non,non,non,oui,1,0,0,0,,,appartement,Carré d'Or,,,1.0,,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.41353383458647
19,19,https://www.airbnb.fr/rooms/39830776,"The next door studio,  au centre de Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58167,7.77132,,1.0,1.0,Emilie,non,non,non,non,non,oui,non,non,non,non,1,0,0,0,,1.0,appartement,,,,1.0,,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66917293233082
21,21,https://www.airbnb.fr/rooms/791893247597774615,"Petit cocon au cœur de Strasbourg - coup de cœur - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.58672442246576,7.74401418864727,,1.0,1.0,Gwen,non,non,non,non,non,oui,oui,non,non,non,0,0,0,0,,,appartement,,,,1.0,,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14285714285714
23,23,https://www.airbnb.fr/rooms/1060963216960522346,"Studio dans une cabane de Jardin - Cabanes à louer à Strasbourg, Grand Est, France - Airbnb",logement entier : cabane,Strasbourg,2,48.59443112830943,7.722996150626853,1.0,1.0,1.0,Christine,non,non,non,non,non,oui,non,non,non,non,0,0,1,0,,,appartement,,,,1.0,,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.17293233082707
25,25,https://www.airbnb.fr/rooms/30393616,"A DEUX MIN DE LA GARE STUDIO ESPRIT LOFT - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.58189,7.73572,,1.0,1.0,Amélie,non,non,non,non,non,non,non,non,non,non,0,0,0,0,,,appartement,,,,1.0,,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.66917293233082
26,26,https://www.airbnb.fr/rooms/48554270,"*Cocon'Stras* - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.586998,7.738871,,2.0,1.0,Julien,non,non,oui,non,non,non,non,non,non,non,1,0,1,0,,,appartement,,,,,,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.18045112781954
28,28,https://www.airbnb.fr/rooms/41062362,"Studio cosy 28m2 centre Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.59031,7.74142,,2.0,1.0,Magali,oui,oui,non,non,non,non,non,non,non,non,1,0,1,0,28.0,1.0,appartement,,,,,,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.70676691729322
29,29,https://www.airbnb.fr/rooms/52852448,"Studio tout neuf à proximité du centre historique - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.59259,7.72056,1.0,1.0,1.0,Auriane,non,non,non,non,non,oui,non,non,non,non,1,0,0,0,,,appartement,vieux Cronenbourg,,,1.0,,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.93233082706767
30,30,https://www.airbnb.fr/rooms/1067360751444309108,"Le cocon - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,1,48.58892489999999,7.752894899999998,1.0,,1.0,Bekir,non,non,non,non,non,non,non,non,non,non,0,0,0,0,,,appartement,,,5.0,5.0,,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.42105263157895
32,32,https://www.airbnb.fr/rooms/738342065943469905,"Charmant Logement au milieu des jardins - Locations saisonnières à louer à Strasbourg, Grand Est, France - Airbnb",logement entier : logement de vacances,Strasbourg,2,48.60913,7.78471,1.0,1.0,1.0,Thierry,oui,non,non,oui,non,oui,non,non,non,non,1,0,0,0,,,appartement,,,,1.0,,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9172932330827
34,34,https://www.airbnb.fr/rooms/994999136117749666,"Superbe appartement dans un cadre de verdure. - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.59805480228398,7.795936055481434,1.0,2.0,1.0,Serge,non,non,non,non,non,oui,non,non,non,non,0,0,0,0,,,appartement,,,,1.0,,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,68.42105263157895
35,35,https://www.airbnb.fr/rooms/43875109,"Studio climatisé Hyper Centre Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58619,7.74182,1.0,1.0,1.0,Damien,oui,non,non,non,non,oui,oui,oui,non,non,1,0,0,0,,,appartement,,oui,,,,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,63.90977443609023
36,36,https://www.airbnb.fr/rooms/1146930860170639872,"Mon Frangin Studio classé 2 étoiles Neudorf - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.567588750514176,7.749929545368963,1.0,1.0,1.0,Stéphane,oui,non,non,oui,non,oui,oui,non,non,non,1,0,0,0,,1.0,studio,Neudorf,,,,,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,60.150375939849624
38,38,https://www.airbnb.fr/rooms/53680893,"Confortable appartement à Strasbourg - Appartements en résidence à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.570625,7.745207,1.0,2.0,1.0,Rhida,non,non,oui,non,non,oui,non,oui,non,oui,1,0,1,0,,,appartement,,,,1.0,,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,66.16541353383458
39,39,https://www.airbnb.fr/rooms/1039677569330765742,"Chaleureux Studio Hypercentre - Wifi - Netflix - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.5825846,7.7389715,1.0,2.0,1.0,Emma,oui,oui,oui,non,non,non,non,non,non,non,1,0,1,0,,,appartement,,,,1.0,,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,100.0
40,40,https://www.airbnb.fr/rooms/34181013,"Appartement lumineux avec 2 grandes terrasses - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,3,48.56986,7.76525,2.0,2.0,1.0,Adrien,non,non,non,oui,non,oui,oui,non,non,non,1,0,1,0,,,appartement,,,,,,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,54.13533834586466
42,42,https://www.airbnb.fr/rooms/730494311900840702,"2 pièces moderne et cosy à Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.552216,7.7541279,1.0,2.0,1.0,Mouna,non,non,non,oui,non,oui,non,oui,non,non,0,0,1,0,,,appartement,,,,1.0,,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,61.65413533834586
43,43,https://www.airbnb.fr/rooms/1008048755111335120,"Duplex Strasbourgeois - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.5930539,7.760250500000001,1.0,1.0,1.0,Marion,non,non,non,non,non,non,non,non,non,oui,1,0,0,0,,,appartement,,,2.0,,,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,65.41353383458647
44,44,https://www.airbnb.fr/rooms/979647277314421337,"Studio pour 2 personnes Centre de Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.59074546993563,7.749870078836192,,1.0,1.0,Danièle,oui,non,non,non,non,non,non,non,non,non,1,0,0,0,,,,,,,,,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,72.93233082706767
45,45,https://www.airbnb.fr/rooms/36311871,"Charmant petit studio au cœur de Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.58943,7.74455,,1.0,1.0,Eric,non,non,non,non,non,non,oui,non,non,oui,1,0,0,0,,,appartement,,,,1.0,,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,58.64661654135338
46,46,https://www.airbnb.fr/rooms/918563298263460567,"Appt Centre Krutenau cité musique - Appartements en résidence à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.5761263,7.7573914,1.0,2.0,1.0,Jacques,non,non,non,non,non,oui,oui,non,non,oui,1,0,1,0,,,appartement,calme,,,,,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,59.3984962406015
47,47,https://www.airbnb.fr/rooms/1155231262947111565,"Appart en plein cœur Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.58282,7.74943,1.0,,1.0,Laetitia,non,non,non,non,non,non,non,non,non,non,0,0,0,0,,2.0,appartement,,,,4.0,,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,68.42105263157895
48,48,https://www.airbnb.fr/rooms/1146813650550440274,"Appart Épine Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.570836919224654,7.745702974498271,2.0,,1.0,Catarina,non,non,non,non,non,oui,non,non,non,non,0,0,0,0,,,appartement,Neudorf,,,1.0,Non,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,,63.1578947368421
49,49,https://www.airbnb.fr/rooms/30152876,"Loft tout confort faubourg de Strasbourg - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,6,48.56006,7.77858,2.0,3.0,1.0,Catherine,oui,oui,non,oui,non,oui,non,oui,non,non,1,0,1,0,,,appartement,Neuilly-sur-Seine,non,,,,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,,66.9172932330827
50,50,https://www.airbnb.fr/rooms/1024373521367107329,"Appartement ""L'escapade Bleue"" - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.56626047244276,7.753274284524816,1.0,,1.0,Anne,non,non,non,non,non,non,non,oui,non,non,0,0,0,0,,,,,,,,,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,,,64.66165413533834
52,52,https://www.airbnb.fr/rooms/1120037110334609430,"Appartement Cosy et lumineux - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,4,48.59657151622525,7.711994338051557,2.0,2.0,1.0,Ludovic,oui,non,non,non,non,oui,non,non,non,non,1,0,1,0,,,appartement,,,,1.0,,51.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,,77.44360902255639
53,53,https://www.airbnb.fr/rooms/1031118371075164443,"Studio équipé  hypercentre - Appartements à louer à Strasbourg, Grand Est, France - Airbnb",appartement,Strasbourg,2,48.5784169,7.733318300000001,1.0,1.0,1.0,Sam,oui,non,non,non,non,oui,oui,non,non,non,1,0,0,0,,,appartement,,,,1.0,,52.0,51.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0,40.0,39.0,38.0,37.0,36.0,35.0,34.0,33.0,32.0,31.0,30.0,29.0,28.0,27.0,26.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,,,72.18045112781954
